Date,ChinaAMC Select Fixed Inc Allc A HKD Acc
6/14/20,10.28
6/15/20,10.28
6/16/20,10.29
6/17/20,10.3
6/18/20,10.31
6/19/20,10.32
6/20/20,10.32
6/21/20,10.32
6/22/20,10.32
6/23/20,10.32
6/24/20,10.32
6/25/20,10.32
6/26/20,10.33
6/27/20,10.33
6/28/20,10.33
6/29/20,10.33
6/30/20,10.33
7/1/20,10.33
7/2/20,10.34
7/3/20,10.34
7/4/20,10.34
7/5/20,10.34
7/6/20,10.35
7/7/20,10.36
7/8/20,10.36
7/9/20,10.37
7/10/20,10.37
7/11/20,10.37
7/12/20,10.37
7/13/20,10.38
7/14/20,10.38
7/15/20,10.38
7/16/20,10.39
7/17/20,10.4
7/18/20,10.4
7/19/20,10.4
7/20/20,10.4
7/21/20,10.42
7/22/20,10.42
7/23/20,10.43
7/24/20,10.43
7/25/20,10.43
7/26/20,10.43
7/27/20,10.43
7/28/20,10.43
7/29/20,10.44
7/30/20,10.44
7/31/20,10.45
8/1/20,10.45
8/2/20,10.45
8/3/20,10.46
8/4/20,10.47
8/5/20,10.48
8/6/20,10.49
8/7/20,10.49
8/8/20,10.49
8/9/20,10.49
8/10/20,10.49
8/11/20,10.49
8/12/20,10.49
8/13/20,10.49
8/14/20,10.48
8/15/20,10.48
8/16/20,10.48
8/17/20,10.48
8/18/20,10.48
8/19/20,10.49
8/20/20,10.49
8/21/20,10.49
8/22/20,10.49
8/23/20,10.49
8/24/20,10.5
8/25/20,10.5
8/26/20,10.51
8/27/20,10.5
8/28/20,10.51
8/29/20,10.51
8/30/20,10.51
8/31/20,10.52
9/1/20,10.52
9/2/20,10.53
9/3/20,10.53
9/4/20,10.52
9/5/20,10.52
9/6/20,10.52
9/7/20,10.53
9/8/20,10.53
9/9/20,10.52
9/10/20,10.52
9/11/20,10.52
9/12/20,10.52
9/13/20,10.52
9/14/20,10.52
9/15/20,10.52
9/16/20,10.52
9/17/20,10.52
9/18/20,10.53
9/19/20,10.53
9/20/20,10.53
9/21/20,10.52
9/22/20,10.52
9/23/20,10.52
9/24/20,10.51
9/25/20,10.49
9/26/20,10.49
9/27/20,10.49
9/28/20,10.49
9/29/20,10.5
9/30/20,10.5
10/1/20,10.5
10/2/20,10.5
10/3/20,10.5
10/4/20,10.5
10/5/20,10.51
10/6/20,10.52
10/7/20,10.53
10/8/20,10.53
10/9/20,10.54
10/10/20,10.54
10/11/20,10.54
10/12/20,10.54
10/13/20,10.54
10/14/20,10.55
10/15/20,10.55
10/16/20,10.55
10/17/20,10.55
10/18/20,10.55
10/19/20,10.55
10/20/20,10.55
10/21/20,10.55
10/22/20,10.55
10/23/20,10.55
10/24/20,10.55
10/25/20,10.55
10/26/20,10.55
10/27/20,10.56
10/28/20,10.56
10/29/20,10.56
10/30/20,10.55
10/31/20,10.55
11/1/20,10.55
11/2/20,10.55
11/3/20,10.55
11/4/20,10.57
