Date,Templeton Em Mkts Dyn Inc A MDis HKD
2/17/19,8.84
2/18/19,8.85
2/19/19,8.85
2/20/19,8.88
2/21/19,8.89
2/22/19,8.95
2/23/19,8.95
2/24/19,8.95
2/25/19,8.99
2/26/19,8.98
2/27/19,8.96
2/28/19,8.9
3/1/19,8.89
3/2/19,8.89
3/3/19,8.89
3/4/19,8.91
3/5/19,8.93
3/6/19,8.91
3/7/19,8.83
3/8/19,8.71
3/9/19,8.71
3/10/19,8.71
3/11/19,8.79
3/12/19,8.82
3/13/19,8.83
3/14/19,8.82
3/15/19,8.89
3/16/19,8.89
3/17/19,8.89
3/18/19,8.95
3/19/19,8.96
3/20/19,8.98
3/21/19,8.98
3/22/19,8.89
3/23/19,8.89
3/24/19,8.89
3/25/19,8.86
3/26/19,8.86
3/27/19,8.79
3/28/19,8.82
3/29/19,8.87
3/30/19,8.87
3/31/19,8.87
4/1/19,8.95
4/2/19,8.98
4/3/19,9.0
4/4/19,9.03
4/5/19,9.04
4/6/19,9.04
4/7/19,9.04
4/8/19,9.01
4/9/19,9.03
4/10/19,9.07
4/11/19,9.03
4/12/19,9.05
4/13/19,9.05
4/14/19,9.05
4/15/19,9.06
4/16/19,9.08
4/17/19,9.1
4/18/19,9.1
4/19/19,9.1
4/20/19,9.1
4/21/19,9.1
4/22/19,9.06
4/23/19,9.09
4/24/19,9.01
4/25/19,8.96
4/26/19,8.95
4/27/19,8.95
4/28/19,8.95
4/29/19,9.0
4/30/19,9.0
5/1/19,8.99
5/2/19,8.96
5/3/19,8.99
5/4/19,8.99
5/5/19,8.99
5/6/19,8.9
5/7/19,8.85
5/8/19,8.78
5/9/19,8.66
5/10/19,8.7
5/11/19,8.7
5/12/19,8.7
5/13/19,8.58
5/14/19,8.6
5/15/19,8.61
5/16/19,8.58
5/17/19,8.51
5/18/19,8.51
5/19/19,8.51
5/20/19,8.49
5/21/19,8.54
5/22/19,8.54
5/23/19,8.47
5/24/19,8.5
5/25/19,8.5
5/26/19,8.5
5/27/19,8.5
5/28/19,8.49
5/29/19,8.51
5/30/19,8.53
5/31/19,8.54
6/1/19,8.54
6/2/19,8.54
6/3/19,8.6
6/4/19,8.6
6/5/19,8.59
6/6/19,8.59
6/7/19,8.63
6/8/19,8.63
6/9/19,8.63
6/10/19,8.66
6/11/19,8.72
6/12/19,8.68
6/13/19,8.68
6/14/19,8.65
6/15/19,8.65
6/16/19,8.65
6/17/19,8.64
6/18/19,8.72
6/19/19,8.79
6/20/19,8.86
6/21/19,8.87
6/22/19,8.87
6/23/19,8.87
6/24/19,8.87
6/25/19,8.82
6/26/19,8.83
6/27/19,8.88
6/28/19,8.89
6/29/19,8.89
6/30/19,8.89
7/1/19,8.95
7/2/19,8.95
7/3/19,8.94
7/4/19,8.95
7/5/19,8.95
7/6/19,8.95
7/7/19,8.95
7/8/19,8.85
7/9/19,8.85
7/10/19,8.93
7/11/19,8.96
7/12/19,8.96
7/13/19,8.96
7/14/19,8.96
7/15/19,8.95
7/16/19,8.95
7/17/19,8.93
7/18/19,8.94
7/19/19,8.94
7/20/19,8.94
7/21/19,8.94
7/22/19,8.94
7/23/19,8.95
7/24/19,8.96
7/25/19,8.95
7/26/19,8.95
7/27/19,8.95
7/28/19,8.95
7/29/19,8.93
7/30/19,8.91
7/31/19,8.86
8/1/19,8.79
8/2/19,8.69
8/3/19,8.69
8/4/19,8.69
8/5/19,8.53
8/6/19,8.55
8/7/19,8.53
8/8/19,8.58
8/9/19,8.55
8/10/19,8.55
8/11/19,8.55
8/12/19,8.41
8/13/19,8.41
8/14/19,8.24
8/15/19,8.29
8/16/19,8.35
8/17/19,8.35
8/18/19,8.35
8/19/19,8.35
8/20/19,8.38
8/21/19,8.4
8/22/19,8.34
8/23/19,8.29
8/24/19,8.29
8/25/19,8.29
8/26/19,8.26
8/27/19,8.27
8/28/19,8.26
8/29/19,8.28
8/30/19,8.32
8/31/19,8.32
9/1/19,8.32
9/2/19,8.33
9/3/19,8.29
9/4/19,8.39
9/5/19,8.44
9/6/19,8.49
9/7/19,8.49
9/8/19,8.49
9/9/19,8.44
9/10/19,8.44
9/11/19,8.49
9/12/19,8.49
9/13/19,8.49
9/14/19,8.49
9/15/19,8.49
9/16/19,8.48
9/17/19,8.46
9/18/19,8.47
9/19/19,8.44
9/20/19,8.47
9/21/19,8.47
9/22/19,8.47
9/23/19,8.46
9/24/19,8.44
9/25/19,8.43
9/26/19,8.44
9/27/19,8.42
9/28/19,8.42
9/29/19,8.42
9/30/19,8.42
10/1/19,8.41
10/2/19,8.36
10/3/19,8.39
10/4/19,8.4
10/5/19,8.4
10/6/19,8.4
10/7/19,8.38
10/8/19,8.33
10/9/19,8.34
10/10/19,8.35
10/11/19,8.44
10/12/19,8.44
10/13/19,8.44
10/14/19,8.44
10/15/19,8.44
10/16/19,8.48
10/17/19,8.49
10/18/19,8.47
10/19/19,8.47
10/20/19,8.47
10/21/19,8.49
10/22/19,8.54
10/23/19,8.53
10/24/19,8.54
10/25/19,8.56
10/26/19,8.56
10/27/19,8.56
10/28/19,8.59
10/29/19,8.59
10/30/19,8.58
10/31/19,8.57
11/1/19,8.63
11/2/19,8.63
11/3/19,8.63
11/4/19,8.69
11/5/19,8.73
11/6/19,8.71
11/7/19,8.72
11/8/19,8.61
11/9/19,8.61
11/10/19,8.61
11/11/19,8.56
11/12/19,8.57
11/13/19,8.51
11/14/19,8.53
11/15/19,8.56
11/16/19,8.56
11/17/19,8.56
11/18/19,8.58
11/19/19,8.59
11/20/19,8.55
11/21/19,8.53
11/22/19,8.54
11/23/19,8.54
11/24/19,8.54
11/25/19,8.55
11/26/19,8.54
