Date,Harvest China A Research Select A HKD
12/10/14,115.45
12/11/14,115.48
12/12/14,116.09
12/13/14,116.09
12/14/14,116.09
12/15/14,117.64
12/16/14,118.13
12/17/14,118.11
12/18/14,117.61
12/19/14,117.15
12/20/14,117.15
12/21/14,117.15
12/22/14,115.45
12/23/14,114.37
12/24/14,112.86
12/25/14,112.86
12/26/14,112.86
12/27/14,112.86
12/28/14,112.86
12/29/14,116.95
12/30/14,116.97
12/31/14,118.95
1/1/15,118.95
1/2/15,118.95
1/3/15,118.95
1/4/15,118.95
1/5/15,124.13
1/6/15,126.37
1/7/15,125.47
1/8/15,124.42
1/9/15,123.01
1/10/15,123.01
1/11/15,123.01
1/12/15,123.88
1/13/15,125.49
1/14/15,123.4
1/15/15,126.95
1/16/15,126.92
1/17/15,126.92
1/18/15,126.92
1/19/15,119.29
1/20/15,122.28
1/21/15,127.14
1/22/15,126.99
1/23/15,126.22
1/24/15,126.22
1/25/15,126.22
1/26/15,126.95
1/27/15,126.16
1/28/15,124.3
1/29/15,122.98
1/30/15,121.06
1/31/15,121.06
2/1/15,121.06
2/2/15,119.15
2/3/15,121.99
2/4/15,120.89
2/5/15,119.18
2/6/15,117.25
2/7/15,117.25
2/8/15,117.25
2/9/15,117.95
2/10/15,120.2
2/11/15,121.85
2/12/15,122.41
2/13/15,122.87
2/14/15,122.87
2/15/15,122.87
2/16/15,123.32
2/17/15,124.52
2/18/15,124.52
2/19/15,124.52
2/20/15,124.52
2/21/15,124.52
2/22/15,124.52
2/23/15,124.52
2/24/15,124.52
2/25/15,123.64
2/26/15,125.44
2/27/15,124.76
2/28/15,124.76
3/1/15,124.76
3/2/15,125.48
3/3/15,122.45
3/4/15,123.88
3/5/15,123.06
3/6/15,121.92
3/7/15,121.92
3/8/15,121.92
3/9/15,123.98
3/10/15,123.68
3/11/15,124.29
3/12/15,126.05
3/13/15,126.99
3/14/15,126.99
3/15/15,126.99
3/16/15,130.96
3/17/15,132.3
3/18/15,134.6
3/19/15,133.62
3/20/15,134.09
3/21/15,134.09
3/22/15,134.09
3/23/15,136.71
3/24/15,135.92
3/25/15,135.71
3/26/15,136.52
3/27/15,136.94
3/28/15,136.94
3/29/15,136.94
3/30/15,141.06
3/31/15,140.72
4/1/15,143.96
4/2/15,144.06
4/3/15,144.06
4/4/15,144.06
4/5/15,144.06
4/6/15,144.06
4/7/15,144.06
4/8/15,148.39
4/9/15,146.68
4/10/15,151.81
4/11/15,151.81
4/12/15,151.81
4/13/15,155.4
4/14/15,153.82
4/15/15,151.7
4/16/15,156.16
4/17/15,157.26
4/18/15,157.26
4/19/15,157.26
4/20/15,152.25
4/21/15,156.81
4/22/15,161.27
4/23/15,160.42
4/24/15,158.72
4/25/15,158.72
4/26/15,158.72
4/27/15,161.96
4/28/15,159.82
4/29/15,161.63
4/30/15,162.6
5/1/15,162.6
5/2/15,162.6
5/3/15,162.6
5/4/15,163.35
5/5/15,156.86
5/6/15,156.46
5/7/15,154.83
5/8/15,157.79
5/9/15,157.79
5/10/15,157.79
5/11/15,162.23
5/12/15,163.22
5/13/15,163.1
5/14/15,161.16
5/15/15,158.97
5/16/15,158.97
5/17/15,158.97
5/18/15,158.19
5/19/15,163.37
5/20/15,165.44
5/21/15,170.47
5/22/15,173.67
5/23/15,173.67
5/24/15,173.67
5/25/15,173.67
5/26/15,182.02
5/27/15,183.5
5/28/15,170.79
5/29/15,172.49
5/30/15,172.49
5/31/15,172.49
6/1/15,179.66
6/2/15,181.23
6/3/15,181.23
6/4/15,182.13
6/5/15,182.89
6/6/15,182.89
6/7/15,182.89
6/8/15,179.53
6/9/15,178.55
6/10/15,182.48
6/11/15,184.75
6/12/15,187.64
6/13/15,187.64
6/14/15,187.64
6/15/15,182.17
6/16/15,173.36
6/17/15,178.84
6/18/15,171.67
6/19/15,160.09
6/20/15,160.09
6/21/15,160.09
6/22/15,160.09
6/23/15,162.29
6/24/15,165.82
6/25/15,157.9
6/26/15,144.6
6/27/15,144.6
6/28/15,144.6
6/29/15,136.57
6/30/15,144.64
7/1/15,144.64
7/2/15,130.28
7/3/15,122.94
7/4/15,122.94
7/5/15,122.94
7/6/15,122.19
7/7/15,117.8
7/8/15,105.29
7/9/15,112.13
7/10/15,120.48
7/11/15,120.48
7/12/15,120.48
7/13/15,127.47
7/14/15,128.25
7/15/15,121.55
7/16/15,124.38
7/17/15,131.75
7/18/15,131.75
7/19/15,131.75
7/20/15,133.93
7/21/15,135.48
7/22/15,134.87
7/23/15,138.81
7/24/15,135.17
7/25/15,135.17
7/26/15,135.17
7/27/15,122.15
7/28/15,119.9
7/29/15,124.94
7/30/15,120.79
7/31/15,120.15
8/1/15,120.15
8/2/15,120.15
8/3/15,117.4
8/4/15,122.72
8/5/15,121.7
8/6/15,121.11
8/7/15,124.54
8/8/15,124.54
8/9/15,124.54
8/10/15,130.59
8/11/15,126.99
8/12/15,122.28
8/13/15,125.77
8/14/15,126.97
8/15/15,126.97
8/16/15,126.97
