Date,AB Global High Yield AA HKD Inc,CSOP Select US Dollar Bd A HKD Acc,E Fund (HK) HKD Mny Mkt B HKD Acc,Harvest China A Research Select A HKD,AB SICAV I Low Volatility Eq A HKD Acc,CUAM China-Hong Kong Strategy A,E Fund (HK) Select Asia HY Bd A HKD Inc,Harvest China Equity A HKD Acc,Allianz Global Artfcl Intlgc AT HKD,ChinaAMC Select Fixed Inc Allc A HKD Acc,E Fund (HK) China Equity Div A HKD Inc,Harvest China Income A HKD Inc,Allianz Income and Growth AM HKD,Da Cheng China Balanced A (HKD),Franklin Biotechnology Discv A(acc)HKD,Janus Henderson Balanced A2 HKD,Allianz US Short Dur Hi Inc Bd AM HKD,Da Cheng Overseas China Concept A HKD,Franklin Technology A Acc HKD,Templeton Em Mkts Dyn Inc A MDis HKD,Bosera Orient Sun Rise Grt CNH Bd A HKD,E Fund (HK) Grtr Chn Leaders A HKD Acc,Franklin US Government A(acc)HKD
5/6/14,,,,,,,,,,,,,,,,,,,,,,,
5/7/14,0.002134380602749175,0.0,0.0,-0.013242249080399393,0.0037488284910964786,0.0,0.0,-0.01987457790641589,0.0,0.0,0.0,0.0,-0.0038498556304139564,-0.004206098843322681,-0.010759919300605159,0.0037678975131876236,0.0,0.0,-0.005823627287853572,0.0,0.0,0.0,0.0009033423667570428
5/8/14,0.0011075140569092312,0.0,0.0,0.00010650761529462649,0.00033346672002143585,0.0,0.0,-0.012599665321389897,0.0,0.0,0.0,0.0,0.0028985507246377384,-0.0021119324181627652,-0.023793337865397834,0.0,0.0,0.0,-0.0008368200836820217,0.0,0.0,0.0,-0.0009025270758122872
5/9/14,0.0,0.0,0.0,-0.009265175718849883,0.0,0.0,0.0,-0.009470641012860215,0.0,0.0,0.0,0.0,-0.003853564547206201,-0.007407407407407196,0.019498607242339983,-0.0007507507507507061,0.0,0.0,0.002512562814070529,0.0,0.0,0.0,-0.0009033423667569318
5/10/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/11/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/12/14,0.0006807931239893872,0.0,0.0,0.008384392131570495,0.005733715581038634,0.0,0.0,0.020028180354267233,0.0,0.0,0.0,0.0,0.0067698259187620735,0.009594882729211163,0.024590163934426146,0.003005259203606281,0.0,0.0,0.02172096908939003,0.0,0.0,0.0,-0.001808318264014619
5/13/14,0.0006803299600306456,0.0,0.0,0.00010659844366256443,0.0009943652635069355,0.0,0.0,0.016477553034040415,0.0,0.0,0.0,0.0,0.0028818443804032867,-0.001055966209081327,-0.008666666666666711,0.0007490636704119424,0.0,0.0,-0.005723630417007408,0.0,0.0,0.0,0.0009057971014494459
5/14/14,0.00067986742585191,0.0,0.0,0.0017053933063313487,-0.003046357615894113,0.0,0.0,0.008542030673655665,0.0,0.0,0.0,0.0,-0.0009578544061302763,0.005285412262156397,0.00672494956287828,0.0,0.0,0.0,-0.008223684210526327,0.0,0.0,0.0,0.0018099547511312153
5/15/14,-0.0005944798301485976,0.0,0.0,-0.010640561821664174,-0.003055666268101387,0.0,0.0,0.008758421559191598,0.0,0.0,0.0,0.0,-0.012464046021092856,-0.009463722397476282,-0.01603206412825653,-0.002245508982035904,0.0,0.0,-0.0066334991708125735,0.0,0.0,0.0,0.0
5/16/14,0.0,0.0,0.0,-0.0033340503334050586,0.0031316631130062778,0.0,0.0,-0.008873199122221176,0.0,0.0,0.0,0.0,-0.000970873786407922,-0.006369426751592355,-0.0013577732518669228,0.0015003750937734317,0.0,0.0,0.008347245409014992,0.0,0.0,0.0,-0.0009033423667569318
5/17/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/18/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/19/14,0.0,0.0,0.0,-0.015107370238480744,-0.001062769843905853,0.0,0.0,-0.0026954177897574594,0.0,0.0,0.0,0.0,0.0019436345966958868,-0.004273504273504147,0.01291638341264445,0.0014981273408238849,0.0,0.0,0.009105960264900625,0.0,0.0,0.0,0.0
