Date,CSOP Select US Dollar Bd A HKD Acc
10/13/16,10.56
10/14/16,10.56
10/15/16,10.56
10/16/16,10.56
10/17/16,10.56
10/18/16,10.57
10/19/16,10.57
10/20/16,10.58
10/21/16,10.58
10/22/16,10.58
10/23/16,10.58
10/24/16,10.59
10/25/16,10.59
10/26/16,10.59
10/27/16,10.58
10/28/16,10.57
10/29/16,10.57
10/30/16,10.57
10/31/16,10.58
11/1/16,10.58
11/2/16,10.56
11/3/16,10.55
11/4/16,10.56
11/5/16,10.56
11/6/16,10.56
11/7/16,10.56
11/8/16,10.56
11/9/16,10.53
11/10/16,10.51
11/11/16,10.48
11/12/16,10.48
11/13/16,10.48
11/14/16,10.42
11/15/16,10.43
11/16/16,10.42
11/17/16,10.41
11/18/16,10.39
11/19/16,10.39
11/20/16,10.39
11/21/16,10.4
11/22/16,10.4
11/23/16,10.4
11/24/16,10.4
11/25/16,10.4
11/26/16,10.4
11/27/16,10.4
11/28/16,10.41
11/29/16,10.42
11/30/16,10.42
12/1/16,10.42
12/2/16,10.42
12/3/16,10.42
12/4/16,10.42
12/5/16,10.43
12/6/16,10.43
12/7/16,10.44
12/8/16,10.44
12/9/16,10.44
12/10/16,10.44
12/11/16,10.44
12/12/16,10.45
12/13/16,10.45
12/14/16,10.44
12/15/16,10.43
12/16/16,10.44
12/17/16,10.44
12/18/16,10.44
12/19/16,10.45
12/20/16,10.45
12/21/16,10.45
12/22/16,10.45
12/23/16,10.45
12/24/16,10.45
12/25/16,10.45
12/26/16,10.45
12/27/16,10.45
12/28/16,10.46
12/29/16,10.47
12/30/16,10.47
12/31/16,10.47
1/1/17,10.47
1/2/17,10.47
1/3/17,10.48
1/4/17,10.49
1/5/17,10.51
1/6/17,10.51
1/7/17,10.51
1/8/17,10.51
1/9/17,10.52
1/10/17,10.53
1/11/17,10.53
1/12/17,10.54
1/13/17,10.53
1/14/17,10.53
1/15/17,10.53
1/16/17,10.53
1/17/17,10.55
1/18/17,10.54
1/19/17,10.53
1/20/17,10.54
1/21/17,10.54
1/22/17,10.54
1/23/17,10.55
1/24/17,10.55
1/25/17,10.55
1/26/17,10.55
1/27/17,10.56
1/28/17,10.56
1/29/17,10.56
1/30/17,10.56
1/31/17,10.56
2/1/17,10.57
2/2/17,10.57
2/3/17,10.58
2/4/17,10.58
2/5/17,10.58
2/6/17,10.6
2/7/17,10.61
2/8/17,10.62
2/9/17,10.62
2/10/17,10.63
2/11/17,10.63
2/12/17,10.63
2/13/17,10.64
2/14/17,10.64
2/15/17,10.64
2/16/17,10.64
2/17/17,10.65
2/18/17,10.65
2/19/17,10.65
