Date,E Fund (HK) China Equity Div A HKD Inc
8/29/19,149.85
8/30/19,150.5
8/31/19,150.5
9/1/19,150.5
9/2/19,150.22
9/3/19,149.7
9/4/19,151.6
9/5/19,151.88
9/6/19,152.39
9/7/19,152.39
9/8/19,152.39
9/9/19,151.59
9/10/19,150.28
9/11/19,149.31
9/12/19,150.09
9/13/19,150.09
9/14/19,150.09
9/15/19,150.09
9/16/19,149.62
9/17/19,148.05
9/18/19,149.4
9/19/19,148.34
9/20/19,148.51
9/21/19,148.51
9/22/19,148.51
9/23/19,146.31
9/24/19,147.29
9/25/19,145.19
9/26/19,145.42
9/27/19,144.72
9/28/19,144.72
9/29/19,144.72
9/30/19,144.98
10/1/19,144.98
10/2/19,144.98
10/3/19,144.98
10/4/19,144.98
10/5/19,144.98
10/6/19,144.98
10/7/19,144.98
10/8/19,145.49
10/9/19,144.56
10/10/19,145.58
10/11/19,148.1
10/12/19,148.1
10/13/19,148.1
10/14/19,148.7
10/15/19,149.24
10/16/19,149.16
10/17/19,150.12
10/18/19,148.99
10/19/19,148.99
10/20/19,148.99
10/21/19,149.41
10/22/19,148.74
10/23/19,147.24
10/24/19,147.12
10/25/19,146.78
10/26/19,146.78
10/27/19,146.78
10/28/19,148.84
10/29/19,148.91
10/30/19,148.18
10/31/19,149.06
11/1/19,150.06
11/2/19,150.06
11/3/19,150.06
11/4/19,152.54
11/5/19,153.01
11/6/19,152.69
11/7/19,154.03
11/8/19,153.61
11/9/19,153.61
11/10/19,153.61
11/11/19,150.24
11/12/19,151.35
11/13/19,149.8
11/14/19,149.75
11/15/19,150.24
11/16/19,150.24
11/17/19,150.24
11/18/19,151.45
11/19/19,152.69
11/20/19,151.59
11/21/19,149.86
11/22/19,149.85
11/23/19,149.85
11/24/19,149.85
11/25/19,150.49
11/26/19,150.88
11/27/19,151.28
11/28/19,151.17
11/29/19,147.81
11/30/19,147.81
12/1/19,147.81
12/2/19,147.86
12/3/19,148.6
12/4/19,147.23
12/5/19,148.83
12/6/19,150.55
12/7/19,150.55
12/8/19,150.55
12/9/19,149.5
12/10/19,149.33
12/11/19,149.97
12/12/19,150.38
12/13/19,152.99
12/14/19,152.99
12/15/19,152.99
12/16/19,152.66
12/17/19,154.26
12/18/19,154.12
12/19/19,153.62
12/20/19,152.88
12/21/19,152.88
12/22/19,152.88
12/23/19,152.72
12/24/19,152.62
12/25/19,152.62
12/26/19,152.62
12/27/19,154.04
12/28/19,154.04
12/29/19,154.04
12/30/19,154.51
12/31/19,154.53
1/1/20,154.53
1/2/20,157.13
1/3/20,156.82
1/4/20,156.82
1/5/20,156.82
1/6/20,155.64
1/7/20,157.05
1/8/20,155.79
1/9/20,158.49
1/10/20,159.24
1/11/20,159.24
1/12/20,159.24
1/13/20,161.47
1/14/20,161.58
1/15/20,160.94
1/16/20,161.23
1/17/20,162.45
1/18/20,162.45
1/19/20,162.45
1/20/20,162.17
1/21/20,157.44
1/22/20,160.19
1/23/20,155.9
1/24/20,155.9
1/25/20,155.9
1/26/20,155.9
1/27/20,155.9
1/28/20,155.9
1/29/20,155.9
1/30/20,155.9
1/31/20,155.9
2/1/20,155.9
2/2/20,155.9
2/3/20,148.0
2/4/20,152.16
2/5/20,153.11
2/6/20,156.99
2/7/20,156.81
2/8/20,156.81
2/9/20,156.81
2/10/20,155.55
2/11/20,157.88
2/12/20,160.44
2/13/20,160.43
2/14/20,160.15
2/15/20,160.15
2/16/20,160.15
2/17/20,162.17
2/18/20,160.72
2/19/20,161.26
2/20/20,162.04
2/21/20,160.64
2/22/20,160.64
2/23/20,160.64
2/24/20,159.8
2/25/20,161.47
2/26/20,159.26
2/27/20,160.42
2/28/20,155.45
2/29/20,155.45
3/1/20,155.45
3/2/20,158.52
3/3/20,157.93
3/4/20,158.5
3/5/20,160.71
3/6/20,157.9
3/7/20,157.9
3/8/20,157.9
3/9/20,152.41
3/10/20,154.38
3/11/20,153.56
3/12/20,147.37
3/13/20,146.71
3/14/20,146.71
3/15/20,146.71
3/16/20,136.07
3/17/20,136.41
3/18/20,130.13
3/19/20,126.82
3/20/20,134.77
3/21/20,134.77
3/22/20,134.77
3/23/20,129.42
3/24/20,134.99
3/25/20,139.44
3/26/20,139.05
3/27/20,139.77
3/28/20,139.77
3/29/20,139.77
3/30/20,137.88
3/31/20,141.24
4/1/20,139.44
4/2/20,141.78
4/3/20,141.31
4/4/20,141.31
4/5/20,141.31
4/6/20,141.31
4/7/20,141.31
4/8/20,146.4
4/9/20,148.46
4/10/20,148.46
4/11/20,148.46
4/12/20,148.46
4/13/20,148.46
4/14/20,152.04
4/15/20,150.13
4/16/20,150.4
4/17/20,151.6
4/18/20,151.6
4/19/20,151.6
4/20/20,153.11
4/21/20,150.11
4/22/20,152.49
4/23/20,152.64
4/24/20,150.15
4/25/20,150.15
4/26/20,150.15
4/27/20,151.96
4/28/20,151.43
4/29/20,152.14
4/30/20,152.14
5/1/20,152.14
5/2/20,152.14
5/3/20,152.14
5/4/20,152.14
5/5/20,152.14
5/6/20,152.27
5/7/20,152.97
5/8/20,155.27
5/9/20,155.27
5/10/20,155.27
5/11/20,155.74
5/12/20,156.44
5/13/20,157.8
5/14/20,158.47
5/15/20,159.39
5/16/20,159.39
5/17/20,159.39
5/18/20,162.85
5/19/20,163.34
5/20/20,164.02
5/21/20,161.98
5/22/20,158.07
5/23/20,158.07
5/24/20,158.07
5/25/20,158.78
5/26/20,159.08
5/27/20,157.03
5/28/20,156.3
5/29/20,159.61
5/30/20,159.61
5/31/20,159.61
6/1/20,164.51
6/2/20,164.55
6/3/20,165.72
6/4/20,166.02
6/5/20,168.16
6/6/20,168.16
6/7/20,168.16
6/8/20,168.4
6/9/20,168.99
6/10/20,171.78
6/11/20,168.02
6/12/20,171.14
6/13/20,171.14
6/14/20,171.14
6/15/20,169.34
6/16/20,173.9
6/17/20,175.37
6/18/20,176.42
6/19/20,178.22
6/20/20,178.22
6/21/20,178.22
6/22/20,177.98
6/23/20,181.87
6/24/20,180.6
6/25/20,180.6
6/26/20,180.6
6/27/20,180.6
6/28/20,180.6
6/29/20,178.88
6/30/20,181.69
7/1/20,181.69
7/2/20,188.0
7/3/20,190.96
7/4/20,190.96
7/5/20,190.96
7/6/20,196.52
7/7/20,197.13
7/8/20,201.89
7/9/20,207.94
7/10/20,207.3
7/11/20,207.3
7/12/20,207.3
7/13/20,206.98
7/14/20,203.89
7/15/20,204.5
7/16/20,196.88
7/17/20,198.31
7/18/20,198.31
7/19/20,198.31
7/20/20,201.63
7/21/20,207.54
7/22/20,203.16
7/23/20,204.56
7/24/20,196.07
7/25/20,196.07
7/26/20,196.07
7/27/20,195.86
7/28/20,198.39
7/29/20,200.97
7/30/20,200.99
7/31/20,202.96
8/1/20,202.96
8/2/20,202.96
8/3/20,207.63
8/4/20,209.1
8/5/20,213.24
8/6/20,212.65
8/7/20,208.72
8/8/20,208.72
8/9/20,208.72
8/10/20,206.02
8/11/20,204.17
8/12/20,202.82
8/13/20,204.51
8/14/20,205.08
8/15/20,205.08
8/16/20,205.08
8/17/20,206.93
8/18/20,211.51
8/19/20,209.94
8/20/20,209.48
8/21/20,210.62
8/22/20,210.62
8/23/20,210.62
8/24/20,215.01
8/25/20,214.7
8/26/20,216.76
8/27/20,220.58
8/28/20,220.57
8/29/20,220.57
8/30/20,220.57
8/31/20,221.61
9/1/20,223.94
9/2/20,225.8
9/3/20,219.58
9/4/20,215.69
9/5/20,215.69
9/6/20,215.69
9/7/20,212.48
9/8/20,207.58
9/9/20,205.89
9/10/20,206.21
9/11/20,209.32
9/12/20,209.32
9/13/20,209.32
9/14/20,214.12
9/15/20,215.88
9/16/20,215.68
9/17/20,212.96
9/18/20,215.12
9/19/20,215.12
9/20/20,215.12
9/21/20,210.28
9/22/20,209.49
9/23/20,211.08
9/24/20,206.29
9/25/20,203.7
9/26/20,203.7
9/27/20,203.7
9/28/20,205.29
9/29/20,205.33
9/30/20,207.7
10/1/20,207.7
10/2/20,207.7
10/3/20,207.7
10/4/20,207.7
10/5/20,207.7
10/6/20,207.7
10/7/20,207.7
10/8/20,207.7
10/9/20,214.42
10/10/20,214.42
10/11/20,214.42
10/12/20,219.16
10/13/20,219.16
10/14/20,220.07
10/15/20,215.17
10/16/20,215.68
10/17/20,215.68
10/18/20,215.68
10/19/20,213.58
10/20/20,216.88
10/21/20,216.65
10/22/20,214.91
10/23/20,211.32
10/24/20,211.32
10/25/20,211.32
10/26/20,211.32
10/27/20,213.06
10/28/20,215.78
10/29/20,218.75
10/30/20,213.65
10/31/20,213.65
11/1/20,213.65
11/2/20,218.28
11/3/20,221.9
11/4/20,225.88
